,name,flavors,id,race,positive,negative,medical
0,Afpak,"Earthy, Chemical, Pine",1,hybrid,"Relaxed, Hungry, Happy, Sleepy",Dizzy,"Depression, Insomnia, Pain, Stress, Lack of Appetite"
1,African,"Spicy/Herbal, Pungent, Earthy",2,sativa,"Euphoric, Happy, Creative, Energetic, Talkative",Dry Mouth,"Depression, Pain, Stress, Lack of Appetite, Nausea, Headache"
2,Afternoon Delight,"Pepper, Flowery, Pine",3,hybrid,"Relaxed, Hungry, Euphoric, Uplifted, Tingly","Dizzy, Dry Mouth, Paranoid","Depression, Insomnia, Pain, Stress, Cramps, Headache"
3,Afwreck,"Pine, Earthy, Flowery",4,hybrid,"Relaxed, Happy, Creative, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Pain, Stress, Headache, Fatigue, Headaches, Muscle Spasms"
4,Agent Orange,"Citrus, Orange, Sweet",5,hybrid,"Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Nausea, Headache, Headaches"
5,Agent Tangie,"Skunk, Pepper, Citrus",6,hybrid,"Euphoric, Happy, Creative, Uplifted, Focused","Dry Mouth, Dry Eyes","Depression, Stress, Cramps, Fatigue, Eye Pressure"
6,Alaska,"Earthy, Woody, Pungent",8,sativa,"Relaxed, Euphoric, Happy, Energetic, Focused","Dizzy, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Headaches"
7,Alaska Thunder Grape,"Grape, Pepper, Skunk",9,hybrid,"Relaxed, Euphoric, Creative, Tingly, Focused",,"Pain, Stress, Eye Pressure"
8,Alaskan Ice,"Earthy, Pine, Minty",10,sativa,"Euphoric, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Fatigue, Headaches"
9,Alaskan Thunder Fuck,"Earthy, Woody, Pine",11,sativa,"Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue"
10,Albert Walker,"Earthy, Pine, Skunk",12,hybrid,"Relaxed, Hungry, Euphoric, Happy, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms"
11,Alchemy,"Cheese, Chemical, Sweet",13,hybrid,"Relaxed, Hungry, Uplifted, Tingly, Sleepy",,"Insomnia, Stress, Fatigue, Headaches, Eye Pressure"
12,Alf,"Diesel, Pungent, Tropical",14,hybrid,"Relaxed, Euphoric, Happy, Creative, Giggly",Dry Mouth,"Depression, Insomnia, Stress, Muscle Spasms"
13,Alice in Wonderland,"Citrus, Grapefruit, Earthy",15,sativa,"Relaxed, Euphoric, Happy, Uplifted, Focused","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Stress, Lack of Appetite, Fatigue, Muscle Spasms"
14,Alien Abduction,"Earthy, Nutty, Lemon",16,hybrid,"Relaxed, Happy, Creative, Focused","Dry Mouth, Dry Eyes","Depression, Insomnia, Lack of Appetite, Fatigue, Headaches"
15,Alien Apparition,"Berry, Blueberry, Citrus",17,hybrid,"Hungry, Euphoric, Creative, Aroused",Dry Mouth,"Depression, Cramps, Fatigue, Headaches, Eye Pressure"
16,Alien Asshat,"Citrus, Pungent, Lemon",18,hybrid,"Euphoric, Happy, Creative, Energetic, Giggly","Dizzy, Dry Mouth","Depression, Pain, Stress, Nausea, Fatigue"
17,Alien Bubba,"Earthy, Ammonia, Diesel",19,indica,"Relaxed, Euphoric, Sleepy, Focused, Giggly","Dizzy, Dry Mouth","Depression, Insomnia, Pain, Stress, Lack of Appetite"
18,Alien Dawg,"Earthy, Pungent, Spicy/Herbal",20,indica,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Insomnia, Pain, Stress, Nausea, Fatigue"
19,Alien Dutchess,"Berry, Lemon, Sweet",21,sativa,"Relaxed, Euphoric, Happy, Uplifted, Focused",,"Depression, Insomnia, Pain, Stress, Lack of Appetite"
20,Alien Hallucination,"Chemical, Diesel, Earthy",22,hybrid,"Relaxed, Euphoric, Happy, Uplifted",,"Depression, Pain, Stress, Headache, Fatigue, Muscle Spasms"
21,Alien Inferno,"Pine, Diesel, Earthy",23,hybrid,"Euphoric, Happy, Creative, Energetic, Talkative",,"Depression, Pain, Stress, Lack of Appetite, Fatigue"
22,Alien Kush,"Woody, Flowery, Earthy",24,indica,"Relaxed, Euphoric, Uplifted, Sleepy, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Headaches"
23,Alien OG,"Lemon, Flowery, Earthy",25,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Muscle Spasms"
24,Alien Reunion,"Skunk, Diesel, Pungent",26,hybrid,"Relaxed, Euphoric, Happy, Creative, Uplifted",,"Pain, Lack of Appetite, Headaches, Inflammation, Muscle Spasms"
