name,flavors,race,positive,negative,medical,Rating,Description
Afpak,"Earthy, Chemical, Pine, Spicy/Herbal",hybrid,"Relaxed, Hungry, Happy, Sleepy, Creative, Focused",Dizzy,"Depression, Insomnia, Pain, Stress, Lack of Appetite",4.2,"Afpak, named for its direct Afghani and Pakistani landrace heritage, is a beautiful indica-dominant hybrid with light green and deep bluish purple leaves. The taste and aroma are floral with a touch of lemon, making the inhale light and smooth. Its effects start in the stomach by activating the appetite. There is also a potent relaxation that starts in the head and face, and gradually sinks down into the body. Enjoy this strain if you’re suffering from stress, mild physical discomfort, or having difficulty eating.  "
African,"Spicy/Herbal, Pungent, Earthy, Pepper",sativa,"Euphoric, Happy, Creative, Energetic, Talkative, Aroused, Tingly",Dry Mouth,"Depression, Pain, Stress, Lack of Appetite, Nausea, Headache",3.9,"African refers to the indigenous varieties of cannabis (or landraces) that grow natively in this region of the world. Because of this region's latitude and climate, these native landrace strains tend to be sativa in structure and effect."
Afwreck,"Pine, Earthy, Flowery, Pungent",hybrid,"Relaxed, Happy, Creative, Uplifted, Sleepy, Euphoric","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Pain, Stress, Headache, Fatigue, Headaches, Muscle Spasms",4.2,Afwreck is a hybrid cross of Afghani and Trainwreck.  Strong sativa effects with immediate head-concentrated high.
Alaska,"Earthy, Woody, Pungent, Pine",sativa,"Relaxed, Euphoric, Happy, Energetic, Focused, Sleepy","Dizzy, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Headaches",4.6,"Alaska, developed by Tikun Olam, is an Israeli strain comprised of 70% sativa genetics. With uplifting effects intended for daytime consumption, Alaska has been found to successfully treat an array of medical symptoms including inflammation, pain, nausea, insomnia, and gastrointestinal disorders. "
Alchemy,"Cheese, Chemical, Sweet, Spicy/Herbal",hybrid,"Relaxed, Hungry, Uplifted, Tingly, Sleepy",,"Insomnia, Stress, Fatigue, Headaches, Eye Pressure",4.8,"Alchemy is a 50/50 hybrid cannabis strain that was conjured by combining Chemdawg and Querkle. This creation from TGA Genetics comes wreathed in purple fan leaves and lavender-tipped buds. With an aroma of sour grapes and earthy musk, Alchemy delivers a balance of relaxing body effects and engaged cerebral invigoration. Boasting high levels of THC, Alchemy is sure to restore both your mood and appetite."
Alf,"Diesel, Pungent, Tropical",hybrid,"Relaxed, Euphoric, Happy, Creative, Giggly",Dry Mouth,"Depression, Insomnia, Stress, Muscle Spasms",5.0,"The indica-dominant hybrid Alf was created by crossing Animal Pie (an Animal Cookies and Cherry Pie hybrid) and Black Raven (White Fire Alien OG x ’09 Cookies) from The Captain’s Connection. With dessert-like notes of cookies and sour cherry, Alf’s aroma is as enticing as its purple crystal-coated buds. Patients seeking relief from pain, spasms, nausea, and appetite may want to give this relaxing hybrid a try."
Allkush,"Honey, Spicy/Herbal, Earthy",indica,"Relaxed, Happy, Sleepy, Uplifted",Dry Eyes,"Pain, Stress, Eye Pressure",5.0,"Allkush, 2nd prize winner at the 2005 Highlife Cannabis Cup, is a hashy Kush blend bred by Paradise Seeds of Amsterdam. This resinous flower hails from the “Hippie Trail” that winds through Pakistan and Afghanistan, creating a 75/25 indica-dominant strain that soothes without binding the consumer to the couch. With traditional uplifting cerebral elements and a pleasant sedation on the body, Allkush shines on patients seeking relief from sleep disorders, anxiety, and depression. "
Aloha,"Tropical, Sweet, Citrus",sativa,"Relaxed, Happy, Creative, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Fatigue, Headaches",4.2,"Aloha is a sativa strain that leaves users with an upbeat, energetic buzz and may also be helpful in treating pain such as migraines. Aloha’s flowers will be large and fluffy, with plenty of room for white wispy hairs and sparkling crystals. The aroma of this strain is that of grass and citrus for a fresh experience that may have you thinking of your next island getaway. Its sativa effects can be a little much for some users, so those who are looking for less mental stimulation should be warned."
Alohaberry,"Berry, Sweet, Citrus, Apple, Chestnut",hybrid,"Relaxed, Euphoric, Happy, Energetic, Giggly, Uplifted, Aroused, Tingly","Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Nausea, Fatigue",4.2,"Originating from the tropical islands of Hawaii, Alohaberry releases a pleasant aroma and taste of tropical berries. It is known for its unique sweet taste and because it is an equal hybrid, the effects are both mind and body. Flowering time for this plant is approximately 8-9 weeks."
Ambrosia,"Earthy, Tropical, Butter, Flowery, Lavender",hybrid,"Relaxed, Hungry, Euphoric, Happy, Tingly, Uplifted, Creative, Focused","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",4.4,"Stemming from her parents, God Bud and Burmese, the Ambrosia strain is a high that will hit you almost instantaneously and will be felt throughout your body. Her mother, Burmese is a sativa from the Mighty Mite Seed Company and was voted #1 People's Choice at the Cannabis Culture Toker's Bowl in 2002. For dad, God Bud from Jordan of the Islands, is a mostly indica plant, popular for it's tropical sweet flavor. Ambrosia produces a large amount of dense and sticky buds with yellow leaves and orange hairs. "
